artist_id,artist_name,artist_followers,artist_genres,artist_popularity
0lI3rF4hi4op6UxqlLHPzv,Achille Lauro,905004,"['italian adult pop', 'italian hip hop', 'italian pop']",62
2dAKW1tsAariQ0Ta2gqp8N,Gow Tribe,1406,[],43
2lkP8239tkwRjg5N7d2D0w,Frenetik&Orang3,49965,"['italian hip hop', 'italian indie pop']",45
0ffKEtMDnROKWyJtXUnLbJ,Dani Faiv,357710,['italian hip hop'],51
1VJ0briNOlXRtJUAzoUJdt,FISHER,782649,"['australian house', 'house']",68
1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,675089,['australian hip hop'],64
1JZTStn7PjC7BHda6lAUV5,Tre Savage,16996,['rage rap'],46
7z8fkGpUDt6eb6fyysRTH9,Skan,86575,['traprun'],49
35dP7ddpwy7mkanF1WnM2g,Krale,10088,['gaming edm'],41
1RdQK73ZgvXjkaBJkibE6X,M.I.M.E,34948,['traprun'],51
1Ars2RdXFbmt04pZ5g2RNr,Drama B,24449,"['deep underground hip hop', 'traprun']",50
2g1JSu9UfRcQQYb3b03Km7,Varien,85126,"['chillstep', 'complextro', 'downtempo', 'filthstep', 'melodic dubstep']",46
2aoybyf3mgYIdVA5sX9TFV,Andrew Zink,973,[],37
6qGkLCMQkNGOJ079iEcC5k,Ben Platt,472522,"['broadway', 'show tunes']",60
1ciw0LLweRvHpU9zhiOYyq,Nyv,52882,['italian pop'],41
0O1cTzccAEKaEFShgzAK9V,Bass Santana,168701,"['miami hip hop', 'underground hip hop']",51
19uEVh7y7Y9RfjMphMamXc,Cooliecut,200574,[],49
6HhsbprrJmKeaH8SgSlGge,Kin$oul,13435,[],51
4boc9WGDp4rS4bObD8WtlU,Urano,8442,['pop virale italiano'],27
0x7qiZJaal6j8qS7yCydFk,Savage Ga$p,203813,['aesthetic rap'],57
4xzXnYAMKDc0rY1CN0plep,Jurrivh,37441,[],48
1UAY1hWd5x69hPVXMXIeri,Murubutu,141680,"['indie rock italiano', 'italian underground hip hop']",44
4r63FhuTkUYltbVAg5TQnk,DaBaby,11042978,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",79
0hk4xVujcyOr6USD95wcWb,Sick Luke,239745,"['italian hip hop', 'trap italiana']",57
6PXiPeUVFrlaC1n8511ijT,Side Baby,127466,"['italian hip hop', 'trap italiana']",46
3TVXtAsR1Inumwj472S9r4,Drake,78037303,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94
5NouvRaud9tLKLb6qTlJFr,SADNESS(SNDS),93,[],0
7zfnElBFcdWC87g9HANXQ1,Er Costa,22100,['italian underground hip hop'],26
3egWSWp7Y4FyCKIyvXbw7L,Ghali,2983908,"['italian hip hop', 'italian pop', 'milan indie']",62
62RdOEwjfXjFOQpKdufMR7,Hilight Tribe,153700,['didgeridoo'],53
29zsVzEH33dD5QqxeL8dvy,Vini Vici,495842,['progressive uplifting trance'],62
5Il8YjuVAWkWNH2xgjFMpF,Steve Jablonsky,179717,"['epicore', 'soundtrack']",56
4Rhx0H3w80yqUMSiPfq0Cz,Isyan Tetick,19096,['meme'],36
5AVJt6VYXT4hMRP8D3MRAC,Mighty Oaks,159757,"['folk-pop', 'german indie', 'german indie folk']",47
6Wbrr6GGkNv8VY7RhMBzLI,Cinqve,56,[],0
3mxXfpQtM5ae6HC49FAx1M,Nicole,122,[],10
3XTUciJcdix4GkO9YoBdtP,Holden,100205,"['italian hip hop', 'italian pop', 'pop virale italiano']",42
0fskdccy6fvnWMNMNPqEro,PSICOLOGI,672818,"['italian hip hop', 'italian pop', 'rome indie']",57
