album_id,album_name,album_total_tracks,album_type,album_release_date,album_label,album_popularity
1wU3MS8trhxKeTvrQXIXzI,Silhouette,1,single,2013-07-09,Pastel Ghost,62
202T8cUT1c3oQarCOJBy6m,Milano Demons,18,album,2022-11-25,Milano Ovest,73
2lPz7qiqG7TfvKr3S1Lv6p,Black Panther: Wakanda Forever (Original Score),26,album,2022-11-11,Hollywood Records,57
0TZNgMbhqhmcD6GUW8aGbM,John Wick: Chapter 4 (Original Motion Picture Soundtrack),35,album,2023-03-24,Lakeshore Records,27
6lO2S6MuTs0fZMLhWAExHd,Supervillain (Exclusive),3,single,2023-01-01,Downtown Music LLC,12
4UaK6NEj4Y9zp4o14u8Nuc,September,7,single,2022-08-01,CMDV,35
7pH86nj2gFvJjw0u86zXOQ,Amami,11,album,2012-02-15,WM Italy,47
5ZfcRxuYtOIt4CWCqRLMIe,Deep Thoughts,2,single,2022-12-02,ofSoft,38
0qQy8Go8njStQdH92jsSrb,Lo-fi For U,1,single,2022-12-06,Epic,50
0wqNe0EDDKNpJ9SYMEVyLr,DOOM,12,album,2021-10-29,Columbia,57
417xbxLCqpAckgc6Kk1zg0,John Wick: Chapter 2 (Original Motion Picture Soundtrack),23,album,2017-02-10,Varese Sarabande,55
6BZkhYCGp75O2R4oX25nve,Déjenme Llorar,14,album,2012-03-27,Cosmica Artists,73
0XC7jYCEXjyK9Skl7ydilK,ZONDA,1,single,2023-03-30,Universal Music Italia srL.,51
7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,15,album,2022-12-02,Republic Records,92
0VliboIrLzdC2Qgjdm5V4S,Eclissi,13,album,2022-05-12,Universal Music Italia srL.,63
6Vl1FiigNmVpKDMXpRVUCA,CREED: Original Motion Picture Soundtrack,18,compilation,2015-11-20,Atlantic Records,59
2thP70nudcFpvmRl3AsYRa,The Light,1,single,2023-03-23,Grade A Productions/Interscope Records,62
181OeCuzmanoWJ8z1ShCTH,Self Talk,1,single,2022-03-11,Parker Jack Records,54
0OQjYkxlKHsQwYLJziIQrI,5LBS OF PRESSURE,5,single,2022-10-20,Superstar Pride under exclusive license to UnitedMasters LLC,66
6Hiq8Kib7YXbDsUPNMNpTe,Below Zero,1,single,2019-11-15,Mystic Plug Records,41
282p191UnQOp3i5NREMfYL,ORIGAMI ALL'ALBA,2,single,2023-02-24,Flamingo Management,63
7vXiklrUeffx5o2F8VYwm3,"How to: Friend, Love, Freefall",13,album,2018-04-06,Elektra (NEK),73
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe),18,album,2016-12-09,Universal Records,83
78bpIziExqiI9qztvNFlQu,AM,12,album,2013-09-09,Domino Recording Co,91
00hCNOuhFfKYCeLgRRRAT6,Creed III: The Soundtrack,18,album,2023-03-03,Dreamville/Interscope Records,59
5MoByp7KkxmWqP0qTICrTV,"Blood, Sweat & Tears (with Bas & Black Sherif feat. Kel-P)",1,single,2023-02-22,Dreamville/Interscope Records,42
7hO0SatbllbcKx7aaOEnHd,Re Mida (Piano Solo),8,album,2019-10-01,Universal Music Italia srL.,52
3VYKlqWS3zOv1jli94RFKW,HOPE,1,single,2023-02-16,NF Real Music II,65
63uFfOZpC7jrV7wfuBY2lX,The Dark Knight (Original Motion Picture Soundtrack),14,album,2008-07-14,Warner Sunset/Warner Records,57
7Et3bSTLLqdABO1qCxUplS,Oxymoron (Deluxe),15,album,2014-01-01,Schoolboy Q,73
019ERszfRN6R7kR1XC9dJz,Wake up to Reality,1,single,2022-11-02,Indiefy,16
24TAupSNVWSAHL0R7n71vm,Bad 25th Anniversary,24,album,2012-09-18,Epic/Legacy,74
2ZytN2cY4Zjrr9ukb2rqTP,Off the Wall,10,album,1979-08-10,Epic,74
3Us57CjssWnHjTUIXBuIeH,Bad (Remastered),11,album,1987-08-31,Epic/Legacy,69
2ANVost0y2y52ema1E9xAZ,Thriller,9,album,1982-11-30,Epic,77
