artist_id,artist_name,artist_followers,artist_genres,artist_popularity
0qts5zYDAeK8dBmrdF2Zwq,Drillionaire,39816,['italian hip hop'],68
7K80yOTC0Id95gRaOxDG5u,ANNA,227637,"['italian hip hop', 'italian pop']",69
0jdNdfi4vAuVi7a6cPDFBM,Lazza,1674793,"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",75
6CKch2otN4SPznHf9ms5JF,Tony Effe,337561,"['italian hip hop', 'trap italiana']",68
4Ws2otunReOa6BbwxxpCt6,Benny Benassi,549512,"['edm', 'electro house', 'pop dance']",65
2GBDI5PSiEnVoH0YnFFRLx,yatashigang,45052,['gym phonk'],51
5japL3H3OQvvJfhtsNh3eU,Teya Dora,37380,[],61
7LbEDjJKrmWoMcN3OpaNnR,Daniel Pemberton,83581,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",66
4X8gYCkPmSxnIteMWbSFi1,8inch meyus,614,[],33
6JFaTYyfO9VRWnlC3ypYJh,YOUNGX777,11943,[],56
7tmMPdOmFvdRvbj2aWoiRi,Jovanotti,2502066,"['italian adult pop', 'italian pop']",60
62C5P1caRIK12ndTkzNJjA,Noemi,577907,"['italian adult pop', 'italian pop']",54
1AgAVqo74e2q4FVvg0xpT7,Tedua,1507350,"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",74
40LhqyLxAdaQBBXZ1P8Ga9,Treyarch,55242,['video game music'],36
6qFEVczpjXakMuKcI5BBdc,Malukah,99501,['scorecore'],46
0ttsFiIQxBWmfS1JPgTZ6o,Jack Wall,38063,['video game music'],47
6HYyeW4R4oZbUvkjG7t3qH,Owsey,25470,['chillstep'],43
3hBQ4zniNdQf1cqqo6hzuW,Salmo,2392242,"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']",67
5SulO4l40qDuV9zUGLZx7n,Capo Plaza,3602433,"['italian hip hop', 'italian pop', 'trap italiana']",71
7dGJo4pcD2V6oG8kP0tJRR,Eminem,74931735,"['detroit hip hop', 'hip hop', 'rap']",88
3q7HBObVc0L8jNeTe5Gofh,50 Cent,12040509,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",81
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,1470925,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",74
7zPS3i8YJBNeDcqXUHfCMr,AVA,56659,"['italian hip hop', 'trap italiana']",65
2ye2Wgw4gimLv2eAKyk1NB,Metallica,25578181,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",80
5H4yInM5zmHqpKIoMNAx4r,Central Cee,3704050,['melodic drill'],82
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,5291492,"['hip hop', 'rap']",88
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,1778248,"['melodic rap', 'rap', 'trap']",81
7rkW85dBwwrJtlHRDkJDAC,NAV,3358487,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']",75
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,7618267,"['melodic rap', 'rap', 'trap']",80
6n9sdNb7mWvVmARDT6ujnJ,Memphis Cult,44717,['memphis phonk'],54
1dQwH3oZGmOTF94MzOwZY8,NEXNCLXUD,352,['memphis phonk'],36
5y8tKLUfMvliMe8IKamR32,d4vd,1529583,"['bedroom pop', 'bedroom r&b']",77
5gCRApTajqwbnHHPbr2Fpi,Juicy J,3113085,"['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",71
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,11158953,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,4701426,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",78
3qnMl4DHT4gndzFAcG4FlM,Kill The Noise,420509,"['brostep', 'edm', 'electro house', 'fidget house']",53
23rBupd4zSysh9lAzsSFb0,Madsonik,3849,[],45
6FAo7ORAHEzSSf5q10LLfN,Lil Mabu,615678,['meme'],68
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,599535,"['indie folk', 'indie quebecois']",68
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,42585979,"['emo rap', 'miami hip hop']",84
5CE2IfdYZEQGIDsfiRm8SI,DJ Shadow,572348,"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']",61
0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,1386221,"['conscious hip hop', 'east coast hip hop', 'hip hop']",62
1t20wYnTiAT0Bs7H1hv9Wt,EDEN,970975,['indie poptimism'],58
1xsYReh7zhty26wD4tprKh,Chris Nolan,15714,['italian hip hop'],55
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,5680065,"['atl hip hop', 'melodic rap', 'rap', 'trap']",84
0gLF7r8Rf7Ecs6ilnUJPzx,Dwayne Terore,26,[],2
56gKAiKyXpud1eozj9TQkY,Kachiro,3,[],2
6fOMl44jA4Sp5b9PpYCkzz,NF,8805949,"['hip hop', 'pop rap']",79
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,9582823,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",80
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,6548793,"['memphis hip hop', 'rap']",78
1oSPZhvZMIrWW5I41kPkkY,Jimin,6249974,['k-pop'],82
164Uj4eKjl6zTBKfJLFKKK,JVKE,2881129,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",78
7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,275690,['indie r&b'],71
1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,60439,['soundtrack'],75
2bdcBjvuI9worc472GbeU0,Samuel Kim,304627,['anime lo-fi'],61
3f0oZnKV2b5N8TDBnSGEOL,Blake el Diablo,6967,[],39
2KFO9fDMwB1SPoY3yMBT9S,CxS,584,[],11
5D13YXAC5JJNkYDe5TPjAE,KT.$PAZZIN,2,[],11
0qT79UgT5tY4yudH9VfsdT,Sum 41,3630517,"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rock']",70
2RDOrhPqAM4jzTRCEb19qX,Sheck Wes,1478408,"['pop rap', 'rap', 'trap']",62
03r4iKL2g2442PT9n2UKsx,Beastie Boys,2588513,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",68
14uo609t1MvRGZcskySt9R,SXMPRA,192295,['drift phonk'],65
