,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
1253,3a1lNhkSLSkpJE4MSHpDu9,2023-07-11T18:42:10Z,Congratulations,5s0rmjP8XOPhP6HhqOhuyC,246dkjvS1zLTtiykXe5h60,['0VRj0yCOv2FXJNP47XQnx5'],0.3270278157999663,1,0.84,6,0.4621146989236562,0.804,0.63,0.492,0.8109162982161915,0.215,0.0,0.253,1,0.0363,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1263,0VjIjW4GlUZAMYd2vXMi3b,2023-07-11T18:42:10Z,Blinding Lights,4yP0hdKOZPNshxUOjY0cZj,1Xyo4u8uXC1ZmMpatF05PJ,[],0.28540276801532394,0,0.92,1,0.7810790096304441,0.73,0.514,0.334,0.7575240128068302,0.00146,9.54e-05,0.0897,1,0.0598,4,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1264,1uAwfDonpvw6Z4OsITZzzA,2023-07-11T18:42:10Z,Hypnotize - 2007 Remaster,2yDwwjGzGEcyJMEJuCNyiP,5me0Irg2ANcsgc93uaYrpb,[],0.3470048791716507,0,0.55,9,0.2673797860641808,0.588,0.898,0.672,0.7647507241957615,0.168,0.0,0.349,1,0.296,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1281,466cKvZn1j45IpxDdYZqdA,2023-07-11T18:42:10Z,Toosie Slide,6OQ9gBfg5EXeNAEwGSs6jK,3TVXtAsR1Inumwj472S9r4,[],0.3820366739422638,1,0.71,1,0.18525109133926487,0.49,0.83,0.845,0.6695227931087055,0.289,3.04e-06,0.113,0,0.209,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1298,4Of7rzpRpV1mWRbhp5rAqG,2023-07-11T18:42:10Z,Bruises,5658aM19fA3JVwTK6eQX70,4GNC7GD6oZMSxPGyXy4MNB,[],0.3274368112331931,0,0.8300000000000001,4,0.3825119130927388,0.308,0.736,0.361,0.6997103216953804,0.946,0.0,0.186,1,0.0677,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,4w5Grfxx5Rpup6mo5v6bW0,2023-07-11T18:42:10Z,Beat Of My Heart,6NQRmMazNOKi0IiIXlNzGh,7f5Zgnp2spUuuzKplmRkt7,['09JJrjk6Mr5ZYwk1mk7aEb'],0.2507573608901713,0,0.5700000000000001,6,0.3877703355659968,0.524,0.706,0.296,0.6700106723585912,0.127,0.00129,0.109,1,0.026,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1320,2zFF6jG5hQArbzcXz3KUWk,2023-07-11T18:42:10Z,Cool for the Summer,3HV3ecmJJ2GmHM93vVVKXF,6S2OmqARrzebs0tKUEyXyp,[],0.31561293823141334,1,0.65,5,0.4015595321403579,0.61,0.583,0.336,0.7665192864765971,0.00425,0.000105,0.14,0,0.0382,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1328,1UGMu0Tf5nmKoYIPPztbQQ,2022-12-22T14:09:02Z,Lonely,6X7HEjHrNHimc0buMQpNya,0z4gvV4rjIZ9wHck67ucSV,[],0.3588986307901627,1,0.6,5,0.24168749375187448,0.525,0.621,0.6,0.6983991462113126,0.314,0.0,0.126,0,0.0391,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345,5UsLjwBaTHBX4ektWIr4XX,2022-12-22T14:09:02Z,Forever,7MZzYkbHL9Tk3O6WeD4Z0Z,3TVXtAsR1Inumwj472S9r4,"['5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865', '7dGJo4pcD2V6oG8kP0tJRR']",0.6094463558301373,1,0.76,5,0.33464627278483117,0.906,0.457,0.54,0.869004421405702,0.249,0.0,0.182,0,0.342,5,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1356,440JHgcmlgu65MbKBg20ba,2022-12-22T14:09:02Z,I Know What You Want (feat. Flipmode Squad),7xfoGxTPNTt33IVcWjDrRt,1YfEcTuGvBQ8xSD1f53UnK,"['4iHNK0tOyZPYnBU7nGAgpQ', '7JXCJDLGh1k9cg6JbYCpYl']",0.5408008911578887,0,0.5700000000000001,6,0.21314272384951183,0.751,0.563,0.487,0.8065863698734563,0.0141,0.0,0.636,1,0.317,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1385,4RCWB3V8V0dignt99LZ8vH,2022-12-22T14:09:02Z,Hey There Delilah,4vUClKTFaDWnsHE8rK52GY,1g1yxsNVPhMUl9GrMjEb2o,[],0.35218411782356884,0,0.81,2,0.3343197040887733,0.291,0.656,0.298,0.6161000152462266,0.872,0.0,0.114,1,0.0293,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1415,7arHM2KZ0KzIZXFVDRGClI,2023-07-27T15:01:01Z,Holiday,1DWWb4Q39mp1T3NgyscowF,6tbjWDEIzxoDsBA1FuhfPW,[],0.35018435623296706,0,0.63,7,0.42480589156586357,0.699,0.813,0.732,0.6745235554200335,0.0251,0.0135,0.0527,1,0.0458,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1426,2bCQHF9gdG5BNDVuEIEnNk,2023-07-27T15:01:01Z,Smooth Criminal - 2012 Remaster,24TAupSNVWSAHL0R7n71vm,3fMbdgg4jU18AjLCKBhRSm,[],0.4040319961854496,0,0.77,8,0.42910460195274747,0.981,0.853,0.595,0.8181125171520048,0.247,0.468,0.306,1,0.0751,4,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1444,1YQCRXscu8xE74BVVMUCRr,2023-07-27T15:01:01Z,Boys Don't Cry,5JLKZcOSNXcm6xaX1vI7nB,7bu3H8JO7d0UbMoVzbo70s,[],0.19214769873273072,0,0.55,11,0.7721816788296842,0.597,0.463,0.735,0.5263607257203842,0.0178,0.0,0.177,0,0.0637,4,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1458,5AUByBgSqf3a9Sgtp142D2,2023-07-27T15:01:01Z,Live Is Life - Live,4y5NvuKT134WXPTQBdCRLG,5pf1217gT8zcjOFc7oMi47,[],0.403098911126731,0,0.6,9,0.2659002299310207,0.925,0.624,0.596,0.7553895410885806,0.195,1.33e-06,0.98,0,0.0532,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
