,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
766,3VtGh8xE9qRsFyY2Uj1WG3,2023-08-10T22:01:00Z,Hoe (feat. Sfera Ebbasta),4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,['23TFHmajVfBtlRx5MXqgoz'],0.15604100641650123,0,0.8300000000000001,2,0.40145289746409407,0.757,0.936,0.406,0.7367281597804543,0.0974,0.0,0.156,1,0.117,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
799,6wf7Yu7cxBSPrRlWeSeK0Q,2023-08-10T22:01:00Z,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd,6qqNVTkY8uBg9cP3Jd7DAH,[],0.33129452192749886,0,0.97,0,0.16391749141924095,0.0911,0.444,0.142,0.3998170452812929,0.959,1.05e-06,0.098,1,0.0307,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
815,2bRXm4AA0GbbDXlo5SuSNW,2023-08-09T16:31:19Z,Pe t'avè,5k0Gpr3JOlSNhF0VeSZ0zs,6yGn8XOk9ZS6vUFf10sP96,['1H4c9hV4loHbcfQfdQmmzh'],0.35199297925427186,0,0.6,9,0.48756706321436893,0.455,0.735,0.336,0.5081262387559079,0.179,0.11,0.113,0,0.156,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
818,0mEdbdeRFQwBhN4xfyIeUM,2023-08-09T16:31:19Z,Can't Tell Me Nothing,4SZko61aMnmgvNhfhgTuD3,5K4W6rqBFWDnAN6FQUkS6x,[],0.4324767037023335,1,0.81,5,0.17475424039454823,0.62,0.596,0.102,0.7514560146363775,0.0122,0.0,0.82,0,0.039,4,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
855,1ydmhnyDOWr5y0s7Vvdw5i,2023-08-09T16:31:19Z,Can't Hold Us (feat. Ray Dalton),2pFX16u42q0e5F5vRmmzYT,5BcAKTbp20cv7tC5VqPFoC,"['3JhNCzhSMTxs9WLGJJxWOY', '4myTppRgh0rojLxx8RycOp', '4e0nWw2r4BoQSKPQ2zpU13']",0.4054110712391944,0,0.64,2,0.6150754773567929,0.927,0.633,0.88,0.8022259490776033,0.0267,0.0,0.0986,1,0.0839,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
883,1HEGcG1QUJfyyPfq5EMF9b,2023-08-09T16:31:19Z,Lingerie,7GWVPJPcu8o1LCw94e5Rew,1AgAVqo74e2q4FVvg0xpT7,['23TFHmajVfBtlRx5MXqgoz'],0.281263487600656,0,0.66,9,0.4948981972075044,0.637,0.64,0.129,0.7001372160390303,0.0119,5.71e-05,0.0973,1,0.0479,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
892,14ZxYiB4WZvbma2Jr15MeP,2023-08-10T09:36:58Z,ROOFTOP (feat. Guè),5y2UTfhxtOcFE1v5S585kK,0QqmgpgI0C1DyyDk49vnxY,['7F2utINZ6tSokSiZTQBE27'],0.2362945424800332,1,0.54,10,0.30689459828718046,0.579,0.637,0.305,0.7251715200487879,0.724,0.0,0.148,1,0.194,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
904,4sX6GorfHFAy9UdJM00c3v,2023-08-11T04:03:25Z,"A Little Trauma Can Be Illuminating, And I'm Shining Like The Sun",5HV1423uFq5uNui7tZBBas,1VPmR4DJC1PlOtd0IADAO0,[],0.14950941100547108,1,0.0,8,0.5745009830384217,0.724,0.79,0.148,0.8280225644153072,0.023,0.0,0.448,1,0.0353,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
913,0x0OjST3CNulTlhzLybBc9,2023-08-11T04:03:25Z,Kansas,6Pjx7eyaHx64bGn2LUr9Dx,32aUoW94mJ7xTJI7fG0V1G,[],0.30943690166434423,0,0.37,7,0.24606618014595616,0.505,0.542,0.31,0.6344564720231742,0.722,0.128,0.115,1,0.0237,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,0PQ4VI53cK9ZeKluejZmoC,2023-08-11T04:03:25Z,ghosts,4q37Z0rAJjMmxHf3ORQHb8,1WZarnZpWEv7dDtjAETt4X,[],0.3280205032082506,1,0.32,8,0.573901162984438,0.516,0.558,0.131,0.7541393505107485,0.476,0.0997,0.161,1,0.0264,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
925,2HNB1KfLWpQ3i7jG8LcOLU,2023-08-11T04:03:25Z,Viral (feat. Lil Durk),6nKbzw2rIciCleGWUui9Mw,1jBoSSrbz9n4ehQWA4cZgB,['3hcs9uc56yIGFCSy9leWe7'],0.25851594260088206,1,0.0,2,0.16074510980039325,0.783,0.641,0.372,0.8038420490928495,0.232,0.0,0.0705,1,0.259,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
931,0keKUvQlMR21BPpZfJAMlW,2023-08-11T04:03:25Z,Iris and I,0OF4M8g6GOgUvMUX21ypu1,4o16FybIZV7WPD7tOl7PUd,[],0.21519942124063315,0,0.26,7,0.54802225998867,0.704,0.577,0.685,0.555907912791584,0.876,0.753,0.11,1,0.0397,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
932,2EU5LeESSJgbYKCc5l4rms,2023-08-11T04:03:25Z,Artificial,3dYWUL9aUiAtc9OKGotTfV,5P5FTygHyx2G57oszR3Wot,[],0.32533223171749304,0,0.0,2,0.607711020027325,0.87,0.39,0.211,0.7782893733800884,1.24e-05,0.0246,0.0395,1,0.0569,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
945,3gaBzfwXHucIPYESXsV73c,2023-08-11T04:03:25Z,Drag Me Down,116sA1mfbXdz1TmkHffJX4,1MP7xlABJ13LtmHfG77SCJ,[],0.2790746426941906,0,0.46,8,0.3617648038921656,0.911,0.547,0.405,0.8310718097270925,0.00312,0.0,0.23,1,0.0573,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,3GpoRL1PBnTerVSaVG5tGW,2023-08-11T04:03:25Z,Take Me With You,5nlMjtTBb8QwtiWs7TY8L4,2TM0qnbJH4QPhGMCdPt7fH,[],0.27981247867674564,1,0.48,11,0.8815688626745308,0.929,0.391,0.836,0.8414087513340448,6.28e-05,0.0017,0.402,1,0.0847,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,6tVSfZW8emTALbgJaK3s5W,2023-08-11T04:03:25Z,Say You Love Me,6rqdu9hAmZ166Nem6i6lRx,61SZdJffkiHvhHX2nnkymD,[],0.24287340872002924,0,0.06,8,0.2510713452630877,0.523,0.498,0.21,0.7233724653148346,0.0646,0.0,0.261,1,0.0366,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,6xZuNFT2XCM4TesLeKh9C6,2023-08-11T04:03:25Z,you already know [demo_2021].wav,4iXRAGPayHGQyBCfGvG210,1vPK0KqkfnZzdpKDC2l3rd,[],0.24867333390880428,0,0.23,3,0.29670432203672226,0.301,0.397,0.191,0.7570361335569447,0.883,0.0,0.129,1,0.039,4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,1eNo8OMOTk4IwrILRXc2GM,2023-08-11T04:03:25Z,Nobody Like Us,1alQ5dNsEiuvKSyAP4FAx5,4rTv3Ejc7hKMtmoBOK1B4T,[],0.24572610048545082,0,0.0,6,0.5345196441067679,0.399,0.767,0.42,0.7320323220003049,0.779,0.0,0.182,1,0.0402,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
963,3rdzGfp94hIX5nksvAjFoD,2023-08-11T04:03:25Z,Who You Touch Pt. 2 (feat. Trippie Redd),7lEj90UqCHkiZzLnOOQV2v,3jVAqTL4NbB88q4lj94VX9,"['2SyMN1PdSuQpZgrYXrkai1', '6kOvJAZH29zNIKqPLOEC65', '6Xgp2XMz1fhVYe7i6yNAax']",0.1578948450133386,1,0.0,6,0.7078543103735546,0.899,0.695,0.796,0.7557859429791126,0.167,0.0,0.114,0,0.338,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
973,7z1KycCf3qBqmfbaagBS0F,2023-08-11T04:03:25Z,Sun Up / Sun Down,35QTFJiXPklVTsbRaVarI8,6jxLcPfLvVwcz7bmzOWwwE,['5iMSKRaSXzdjqyeok8GtM2'],0.26651498896328907,1,0.0,5,0.7879569462494584,0.697,0.622,0.694,0.7293794785790516,0.249,0.0,0.158,0,0.331,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1034,44lme9otJbQhWX4QsvPkXa,2023-08-11T04:00:00Z,Trip McKnight,4zkMdAqSIOLL2BOFZeQ3tg,6Xgp2XMz1fhVYe7i6yNAax,[],0.19776676161937526,1,0.0,10,0.5955480022659868,0.724,0.647,0.465,0.7395334654672968,0.0677,0.0,0.425,0,0.298,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1053,39MK3d3fonIP8Mz9oHCTBB,2023-08-11T04:00:00Z,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",1bwbZJ6khPJyVpOaqgKsoZ,0iEtIxbK0KxaSlF7G42ZOp,"['1zNqQNIdeOUZHb8zbZRFMX', '55Aa2cqylxrFIXC767Z865', '4DdkRBBYG6Yk9Ka8tdJ9BW']",0.350566633371561,0,0.87,11,0.6143157052884134,0.483,0.611,0.204,0.7489251410275957,0.214,0.0,0.124,0,0.055,4,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1146,70LcF31zb1H0PyJoS1Sx1r,2023-08-04T04:01:00Z,Creep,3gBVdu4a1MMJVMy6vwPEb8,4Z8W4fKeB5YxbusRsdQVPb,[],0.36473555054073714,1,0.89,7,0.2534972841480888,0.43,0.515,0.104,0.6355237078822991,0.0097,0.000133,0.129,1,0.0372,4,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1254,2RSHsoi04658QL5xgQVov3,2023-07-11T18:42:10Z,Bad Liar,3JfSxDfmwS5OeHPwLSkrfr,53XhwfbYqKCa1cC15pYq2q,[],0.410224474779985,0,0.8200000000000001,3,0.8271185311073344,0.637,0.383,0.0827,0.7252325049550236,0.0722,0.0,0.368,1,0.0703,4,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1263,0VjIjW4GlUZAMYd2vXMi3b,2023-07-11T18:42:10Z,Blinding Lights,4yP0hdKOZPNshxUOjY0cZj,1Xyo4u8uXC1ZmMpatF05PJ,[],0.28540276801532394,0,0.92,1,0.7810790096304441,0.73,0.514,0.334,0.7575240128068302,0.00146,9.54e-05,0.0897,1,0.0598,4,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1281,466cKvZn1j45IpxDdYZqdA,2023-07-11T18:42:10Z,Toosie Slide,6OQ9gBfg5EXeNAEwGSs6jK,3TVXtAsR1Inumwj472S9r4,[],0.3820366739422638,1,0.71,1,0.18525109133926487,0.49,0.83,0.845,0.6695227931087055,0.289,3.04e-06,0.113,0,0.209,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
