id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto
3BKD1PwArikchz2Zrlp1qi,Baby_Don_t_Hurt_Me,Baby_Don_t_Hurt_Me,2023-04-06,David_Guetta,"['Anne-Marie', 'Coi_Leray']","['big room', 'dance pop', 'edm', 'pop', 'pop dance']",93,7,128,0.91,0.6,0.23,-3.4,0.0,0.0,0.12,1,0.031,4,0.228,0.0,0.0,0.0,1.0,0.0,0.0
4midGjEpVz0mYkIdQMFX3l,CHIAGNE_(feat._Lazza_&_Takagi_&_Ketra),IL_CORAGGIO_DEI_BAMBINI,2023-01-06,Geolier,"['Lazza', 'Takagi_&_Ketra']","['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",75,6,132,0.74,0.72,0.58,-5.83,0.12,0.0,0.09,0,0.058,4,0.584,0.0,0.0,0.0,1.0,0.0,0.0
7kvQDzIegURcWHLC0fZfrQ,Ancora,Ancora,2023-06-21,Rhove,[],"['italian hip hop', 'trap italiana']",66,9,138,0.7,0.74,0.58,-8.16,0.46,0.0,0.16,1,0.08,4,0.583,0.0,0.0,0.0,1.0,0.0,0.0
1la73rdzbQGNRFJyO9E71c,Arai_(feat._Capo_Plaza),Nove_Chiamate,2023-01-13,Medy,['Capo_Plaza'],"['italian hip hop', 'trap italiana']",77,4,128,0.73,0.82,0.68,-4.81,0.07,0.0,0.13,0,0.101,4,0.675,0.0,0.0,0.0,1.0,0.0,0.0
0wSpx49DTwBplnkeqH6zep,Bibidi_Bobidi_Bu_(feat._Paky),Santana_Season,2023-06-09,Shiva,['Paky'],"['italian hip hop', 'italian pop', 'trap italiana']",75,1,135,0.66,0.76,0.51,-4.5,0.04,0.0,0.1,1,0.302,4,0.505,0.0,0.0,0.0,1.0,0.0,0.0
4Js31maTathTS2flQOQr2c,Fragole,Fragole,2023-05-12,Achille_Lauro,['Rose_Villain'],"['italian adult pop', 'italian hip hop', 'italian pop']",74,7,89,0.66,0.69,0.69,-4.05,0.09,0.0,0.21,1,0.05,4,0.69,0.0,0.0,0.0,1.0,0.0,0.0
2Z5y8uHY6mzwWNuaDIFyLc,Anime_Libere_(feat._Rkomi_&_Bresh),La_Divina_Commedia,2023-06-02,Tedua,"['Rkomi', 'Bresh']","['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",77,11,90,0.61,0.67,0.56,-7.75,0.38,0.0,0.12,1,0.056,4,0.556,0.0,0.0,0.0,1.0,0.0,0.0
3UWQoiOrlvHalgvyznur78,Mancanze_Affettive_(feat._Geolier),La_Divina_Commedia,2023-06-02,Tedua,['Geolier'],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",78,7,136,0.72,0.65,0.33,-7.11,0.19,0.0,0.12,1,0.135,4,0.325,0.0,0.0,0.0,1.0,0.0,0.0
3GlYaaFuFxEJWYiN0Vc41f,Whip_Whip,Whip_Whip,2023-05-18,Rhove,[],"['italian hip hop', 'trap italiana']",75,10,100,0.76,0.72,0.76,-7.76,0.27,0.0,0.19,1,0.411,4,0.764,0.0,0.0,0.0,1.0,0.0,0.0
01Lhwz9MYE6hu58oLQjOxh,Un_Altro_Mondo_(con_Tananai_&_Marracash),Un_Altro_Mondo_(con_Tananai_&_Marracash),2023-06-21,Merk_&_Kremont,"['Tananai', 'Marracash']","['dutch house', 'electro house', 'progressive electro house', 'sky room']",66,8,136,0.91,0.58,0.33,-3.45,0.19,0.0,0.09,1,0.088,4,0.326,0.0,0.0,0.0,0.0,0.0,0.0
1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0
4eI0ncpnZuv4A3ssTJRSDY,Due_Vite,MATERIA_(PELLE),2022-12-25,Marco_Mengoni,[],"['italian adult pop', 'italian pop']",72,2,117,0.54,0.64,0.13,-6.16,0.4,0.0,0.09,1,0.031,4,0.133,0.0,0.0,0.0,1.0,0.0,0.0
609E1JCInJncactoMmkDon,BESO,RR,2023-03-24,ROSALÍA,['Rauw_Alejandro'],"['pop', 'r&b en espanol']",96,5,95,0.64,0.77,0.53,-6.67,0.74,0.001,0.17,0,0.136,4,0.53,0.0,0.0,0.0,1.0,0.0,0.0
74cyFjvgjyiFiQ3QxszFWq,TANGO,"RAVE,_ECLISSI",2022-11-24,Tananai,[],['italian pop'],72,6,127,0.67,0.33,0.32,-5.95,0.23,0.0,0.16,1,0.061,4,0.323,0.0,0.0,0.0,1.0,0.0,0.0
3ZG2jPvRmQDz1LAmpUzVZj,LA_FINE_DEL_MONDO,LA_FINE_DEL_MONDO,2023-05-12,Mr.Rain,['sangiovanni'],"['italian adult pop', 'italian hip hop', 'italian pop']",74,7,120,0.78,0.64,0.24,-8.74,0.29,0.0,0.1,0,0.052,4,0.238,0.0,0.0,0.0,1.0,0.0,0.0
7jVQ6DP7Q6S2wKWqJmcTZL,Dimmi_Che_C_è_(feat._Tedua),c@ra++ere_s?ec!@le,2022-09-30,thasup,['Tedua'],"['italian hip hop', 'italian pop', 'trap italiana']",72,8,80,0.73,0.68,0.48,-3.57,0.22,0.0,0.13,1,0.058,4,0.477,0.0,0.0,0.0,1.0,0.0,0.0
